Name,Age,Date_of_Birth,Gender,Marital_Status,BMI,Practicing_Hours_2024_Jan_to_Aug,Dietary_Preference
Jason Roth,102,1921-02-25,male,M,42.24,477,non-veg
David Davila,8,2015-04-23,F,Married,43.75,278,v
Sharon Obrien,-48,1934-03-03,female,married,14.74,16,v
Mitchell Elliott,67,1956-09-25,F,single,29.18,130,nv
Julia Schroeder,20,2003-06-01,Female,s,29.75,44,Vegetarian
Christopher Moore,86,1937-07-29,Male,M,42.36,130,Non Vegetarian
Jennifer Long,34,1989-07-06,female,M,17.0,98,veg
Lauren Young,1,2022-08-20,m,s,12.34,419,v
David Randall,91,1932-11-25,Male,Married,27.02,158,veg
Christopher Smith,108,1915-11-01,F,s,13.76,278,Non Vegetarian
Kelly Morse,43,1980-05-07,female,married,42.16,214,nv
Lisa Wagner,44,1979-04-25,m,s,11.07,369,veg
Annette Rosales,41,1982-03-29,m,s,14.78,101,v
Melissa Fox,8,1939-11-05,male,M,43.29,308,veg
Jamie Cooke,37,1927-12-07,female,single,47.06,329,nv
Laurie Hicks,4,2019-08-12,m,married,27.06,66,Non-Vegetarian
Katherine Green,106,1917-03-29,male,Married,42.51,428,nv
Alexander Maldonado,-2,2006-07-17,F,M,11.11,368,Vegetarian
Madison Harvey,95,1928-03-24,male,Single,24.88,31,v
Janet Johnson,21,2002-01-11,m,s,20.08,417,veg
Melissa Nelson,105,1918-03-08,Female,married,42.0,125,v
Michael Bailey,51,1972-10-08,Male,single,10.96,188,Vegetarian
Alicia Mccoy,80,1943-11-02,female,single,40.72,326,Vegetarian
David Mitchell,74,1949-04-25,F,Single,36.18,44,nv
William Barnett,7,2016-06-08,Female,single,14.11,231,Non-Vegetarian
Kristin Phillips,46,1977-10-13,F,Married,27.69,193,nv
Tracy Davis,93,1930-02-21,female,single,26.23,209,v
Henry Scott,21,1979-11-04,male,single,21.83,315,Non-Vegetarian
Maria Lynn,46,1977-01-21,F,Married,13.24,499,Non Vegetarian
Shawn Stanton,76,1947-11-01,Female,M,16.35,301,Non-Vegetarian
Catherine Taylor,88,1935-08-02,Male,s,41.43,150,Non-Vegetarian
Alyssa Walker,1,2022-10-26,Male,Single,31.32,311,nv
Nancy Anderson,-16,1945-04-28,male,Single,15.05,7,nv
George Lester,52,1971-06-19,m,M,36.42,344,Vegetarian
Duane Ryan,76,1947-12-26,female,Married,22.36,28,non-veg
Ryan Williams,59,1964-01-27,Female,M,28.62,278,non-veg
Sonya Hopkins,1,2022-04-29,male,s,18.33,404,Vegetarian
Shannon Jones DVM,28,1995-11-02,F,single,37.99,312,Vegetarian
Daniel Warren,23,2000-03-16,female,single,43.62,248,veg
Jesse Rogers,54,1969-08-02,F,Single,40.89,342,veg
Jennifer Turner,73,1950-09-14,female,married,15.21,105,Non-Vegetarian
Christina Sims,56,1967-05-30,F,Single,39.66,358,v
Stephanie Kennedy,50,1973-11-26,F,Single,33.54,209,nonveg
Jenna Aguilar,4,2019-10-07,male,s,43.49,236,Non Vegetarian
Tina Moon,55,1932-04-17,m,s,43.29,57,Non Vegetarian
Philip Jensen,104,1919-06-01,m,Married,24.1,125,Non Vegetarian
James Allison,97,1926-05-01,female,married,20.64,192,nonveg
Matthew Stephenson,6,2017-01-17,m,Married,34.03,465,v
Jacqueline Brown,98,1925-03-23,F,single,48.91,23,Vegetarian
Debbie Hines,103,1920-05-12,F,single,34.39,193,nonveg
Brandon Wilson,23,2000-08-17,m,married,33.96,480,veg
Scott Peterson,8,2015-03-17,Male,single,26.41,359,Vegetarian
Janice Rivera,92,1931-05-28,male,Married,13.87,95,Non-Vegetarian
Charlene Johnson,-95,2021-10-13,Male,married,39.93,382,veg
Tim Mcclain,27,1996-10-26,female,M,20.6,171,Non Vegetarian
Samuel Young,81,1942-06-24,Male,single,29.21,251,Non Vegetarian
Jeffrey Blair,105,1918-11-17,Male,single,28.01,224,veg
Ricky Freeman,61,1962-11-18,female,M,26.85,369,Non Vegetarian
William Lewis,11,2012-02-21,male,M,15.09,40,veg
Anthony Pierce,86,1937-07-18,F,Single,20.54,62,v
Becky Adams,-23,1951-04-14,m,s,10.66,498,nonveg
Edward Pittman,44,1979-02-15,male,Married,12.8,344,v
James Williams,24,1999-04-01,female,married,38.21,28,Non Vegetarian
Donald Ramirez,98,1925-03-04,Male,Married,12.17,363,Non-Vegetarian
Joseph Lucero,-31,1945-12-04,Female,s,43.4,188,Non Vegetarian
Frederick Cummings,85,1938-01-24,F,Married,19.85,449,nonveg
Wayne Schneider,104,1919-06-26,female,Married,23.87,-9,non-veg
Julia Perez,54,1969-09-15,F,s,31.75,380,Non Vegetarian
Maria Mckinney,27,1996-03-23,m,M,49.28,347,v
Brianna Estrada,39,1984-11-13,female,Married,37.79,196,non-veg
Brian Jones,8,2015-07-05,m,Married,35.65,17,Non Vegetarian
Gary Barton,51,1972-09-08,m,s,34.56,-3,non-veg
Rachel Webb,79,1993-05-01,F,M,25.39,208,nv
George Alvarez,61,1962-04-18,m,M,47.59,91,Non-Vegetarian
Megan Newton,11,2012-01-09,Male,Single,21.86,468,Non Vegetarian
Erin Koch,74,1949-12-01,F,single,24.5,192,veg
Billy Hampton,37,1986-05-10,m,married,14.57,63,nonveg
Stephen Mitchell PhD,-91,1951-03-12,m,married,29.35,236,non-veg
James Rivers,12,2011-02-27,female,M,14.89,430,non-veg
Lisa Patterson,21,2002-01-29,Male,single,20.97,252,Non-Vegetarian
Tiffany Wilson,74,1949-01-21,male,s,41.35,327,nv
Jeffrey Hunter,99,1924-12-23,male,single,23.7,341,Non-Vegetarian
Craig Alvarez,13,2010-08-03,male,Married,11.21,197,nv
Megan Foster,84,1941-02-03,Male,M,47.14,310,Non-Vegetarian
Alexander Wilson,50,1973-11-14,Male,M,18.23,474,Non-Vegetarian
Renee Lynn,65,1958-06-16,Male,Married,27.26,290,nv
Danielle Henderson,24,1913-12-09,female,M,16.04,29,Vegetarian
Shannon Caldwell,101,1922-10-02,Male,M,43.09,353,Non Vegetarian
Michael Baker,36,1987-01-21,m,M,39.73,296,nonveg
Nicholas Willis,57,1966-10-17,male,single,45.05,455,nonveg
Sarah Nash,68,1955-04-30,Male,Single,49.78,171,Vegetarian
Jeremy Thomas,77,1947-12-12,m,married,11.23,205,Non Vegetarian
Daniel Dorsey,12,2011-07-01,female,s,19.15,343,nv
Dominic Taylor,20,2003-04-13,male,married,41.04,233,veg
Charles Hoffman,-99,2016-09-25,female,Single,44.77,366,Non Vegetarian
Carrie Hull,81,1942-02-15,m,s,12.68,88,Non-Vegetarian
Lauren Massey,98,1989-04-02,female,married,21.7,10,nv
John Stafford,13,2009-01-17,m,Married,42.07,443,Non Vegetarian
Charles Simpson,80,1960-08-17,F,single,39.02,128,nv
Sheryl Allen,8,2015-05-24,male,Single,11.53,170,veg
Jamie Ortiz,32,1975-03-21,female,Single,43.0,311,Non Vegetarian
Christopher Bates,-27,1928-05-29,m,single,33.55,349,Non-Vegetarian
Robert Gutierrez,40,1983-01-16,m,Single,30.4,172,v
Jesse Hoffman,95,1928-01-12,m,Married,37.68,44,Non Vegetarian
Amber Gilbert,-41,2019-03-09,Male,s,33.7,322,v
Theresa Herrera,109,1914-08-29,Female,M,28.54,195,Non-Vegetarian
Paul Silva,41,1982-10-07,Male,single,17.09,483,non-veg
Kevin Moreno,106,1917-11-12,F,s,22.37,449,Non Vegetarian
Joshua Sawyer,106,1917-07-13,m,M,23.25,197,Non-Vegetarian
Brianna Cain,8,2015-12-29,m,married,33.3,120,nonveg
Glenda Serrano,104,1919-08-17,Female,Single,23.18,59,nv
Erika Torres,100,1923-05-06,Male,single,28.27,183,veg
Steve Cooper,107,1916-06-23,F,M,28.26,283,Non Vegetarian
Henry Martinez,73,1950-06-20,male,single,48.67,221,nonveg
Justin Miller,40,1983-08-19,female,Single,49.88,169,non-veg
John Brewer,65,1958-08-05,male,s,11.12,371,Non-Vegetarian
Darryl Nash,70,1953-09-19,F,Single,45.34,68,veg
Julia Perez,96,1927-12-12,Male,s,10.0,365,non-veg
Ryan White,13,2010-10-03,female,Single,20.94,474,Non Vegetarian
Jennifer Hamilton MD,-62,2021-12-30,m,Married,18.69,361,Non-Vegetarian
Joshua Chavez,55,1968-09-18,m,Married,47.18,25,veg
Christopher Hansen,6,2017-07-19,Female,single,12.13,206,v
Michael Schmidt,59,1913-02-18,Female,M,39.56,161,nv
Cassandra Davenport,32,1991-07-11,Male,single,23.68,294,Non Vegetarian
Clinton Watkins,7,2016-03-22,Female,Married,11.17,207,nonveg
Tara Torres,83,1940-04-23,F,married,34.21,109,Vegetarian
Joe Wright,113,1910-04-14,female,Single,28.84,207,v
Nichole Rasmussen,63,1960-12-19,male,married,49.89,431,non-veg
Dawn Spencer,-36,1981-01-18,Male,s,16.02,211,nv
Kevin Howell,3,2020-04-28,Female,s,27.42,488,non-veg
Benjamin Atkinson,11,2012-08-20,F,single,40.29,492,non-veg
Jeremy Thomas,73,1950-01-23,F,married,31.52,408,nonveg
Lisa Clark,62,1961-01-06,male,M,36.09,444,veg
Richard Daniels,105,1918-03-09,F,single,18.44,306,v
Jeffrey Shannon,59,1964-12-01,female,s,40.76,73,nv
Tina Leon,81,1966-04-10,F,M,12.85,96,nv
Dr. Christina Griffith MD,93,1935-07-20,m,M,49.96,168,non-veg
Christopher Wyatt,75,1948-09-22,Female,single,15.7,118,non-veg
Jason Carter,60,1963-03-23,m,Single,12.31,125,nonveg
Laurie Johnson,43,1980-03-22,Male,single,41.47,319,non-veg
Christine Reyes,2,2021-02-06,Male,Single,38.23,241,Non Vegetarian
Christopher Frazier,53,1970-12-29,male,M,25.68,477,Vegetarian
Austin Rodriguez,32,1991-03-25,m,married,23.35,392,Non Vegetarian
Cynthia Jones,44,1979-01-06,F,single,26.75,23,Vegetarian
Taylor Montgomery,31,1992-07-10,m,M,23.58,108,Non Vegetarian
Tonya Campbell,70,1953-03-14,female,s,15.61,7,veg
Robert Perry,-45,1954-09-23,male,s,41.22,348,veg
Brenda Rodriguez,115,1908-01-21,male,M,14.52,152,Non-Vegetarian
Lori Wade,8,2015-09-20,female,Single,25.96,194,nonveg
Nancy Hernandez,32,1991-11-12,F,s,27.73,484,nonveg
Joy Smith,18,2005-05-19,female,Married,35.19,136,veg
Angela Orozco DVM,30,1993-06-08,female,married,16.95,86,non-veg
Ashley Floyd,6,2017-06-25,m,M,27.95,162,nv
David Jones,-82,1992-02-13,Male,Married,45.52,25,nonveg
Patricia Lopez,89,1934-08-05,m,M,44.38,265,non-veg
Ryan Hill,39,1984-07-23,m,Married,19.11,313,nv
Monica Bell,110,1913-03-26,female,Married,48.59,355,v
Michael Cunningham,29,1994-03-29,Male,Single,32.79,44,v
Alexander Jordan,21,2002-04-19,female,M,22.03,307,Vegetarian
Donna White,37,1986-12-14,F,s,25.15,60,nv
Tyler Frederick,79,1944-04-09,Female,s,49.62,329,Non Vegetarian
William Nguyen,81,1942-10-06,Female,single,18.27,215,nv
Rachel Boyd,73,1950-11-03,female,single,48.46,43,Non Vegetarian
Teresa Sanders MD,44,1979-04-07,m,Single,30.49,344,v
Anthony Taylor,105,1918-12-27,male,Married,16.23,207,non-veg
Casey Price,62,1961-10-24,female,single,47.0,50,Non Vegetarian
Robert Garcia,24,1924-04-14,m,Married,43.88,251,v
Jeremy Martin,18,2005-09-20,m,single,33.25,494,Vegetarian
Amy Sanchez,-66,1986-07-21,Female,Single,17.08,369,Vegetarian
Mrs. Kristen Hall,-77,1947-04-10,Female,Single,16.49,291,non-veg
Sara Smith,25,1926-06-25,male,Single,22.08,173,Non-Vegetarian
Gabriel Clark,58,1965-03-19,Male,Single,42.95,-6,veg
Jason Boyer,-25,1961-10-02,Male,Married,42.27,373,Non-Vegetarian
Debra Mendoza,39,1984-11-15,female,Married,25.8,152,v
Mary Rice,-74,1940-02-16,Male,M,30.22,142,nv
Cathy Mccullough,66,1988-01-22,Female,single,32.34,185,Vegetarian
Patrick Wheeler,100,1923-03-25,Male,married,31.33,266,Vegetarian
Jonathan Gray,107,1916-07-18,Female,M,13.66,378,Non-Vegetarian
Michael Rodriguez,112,1911-01-09,m,married,20.45,100,v
Daniel Boyd,11,2012-03-13,Female,s,29.15,280,Non-Vegetarian
Robert Contreras,105,1918-10-18,female,married,21.93,453,Non-Vegetarian
Rachael Rogers,100,1923-07-28,female,s,12.44,437,v
Dawn Clark,102,1921-01-07,Male,s,25.89,462,Non Vegetarian
Eric Lopez,16,2007-01-30,F,s,43.03,43,Vegetarian
Jamie Johnson,-26,1911-05-25,Female,married,47.22,477,nv
Autumn Gutierrez,91,1932-10-29,F,married,35.46,321,Vegetarian
Laura Stafford,-27,2011-08-30,m,single,43.43,347,Non Vegetarian
Zachary Espinoza,46,1977-09-23,m,s,45.13,124,veg
Jacob Smith,-22,1945-11-04,m,Married,43.07,182,nonveg
John Holmes,113,1910-07-02,F,s,16.82,168,Non-Vegetarian
Kathryn Ortiz,52,1971-11-13,female,M,43.09,408,veg
Regina Jones,91,1932-08-26,F,Single,12.11,209,veg
Jennifer Goodman,38,1985-02-19,F,M,13.82,393,Non Vegetarian
Christopher Khan,26,1997-01-22,Female,Married,47.34,240,Vegetarian
Sandra Lopez,19,2000-12-26,female,s,18.37,84,veg
Luke Williams,86,1994-06-13,F,married,26.8,488,Non-Vegetarian
Candice Hill,70,1953-05-27,m,s,41.05,159,v
Christy Bauer,110,1913-08-31,Female,married,40.18,150,Vegetarian
Michelle Cole,20,2003-08-27,F,married,47.39,490,nv
Daniel Williams,102,1921-04-09,Male,married,11.13,118,Vegetarian
Jean Barber,93,1930-12-12,F,single,27.95,499,v
Jason Wade,80,1943-10-25,female,married,31.81,2,veg
Lawrence Vaughn,73,1950-08-26,Female,Married,30.82,454,Non Vegetarian
Jeff Fernandez,28,1995-05-14,Male,Single,29.12,56,nonveg
Dakota Howard,55,1953-11-29,Female,Single,36.19,258,nonveg
Heidi Tucker,83,1940-03-28,male,married,35.53,47,nonveg
Deborah Mcgrath,-56,1952-02-23,F,married,42.1,315,nonveg
Maureen Spencer,105,1918-11-26,Male,Married,48.11,26,non-veg
Morgan Moreno,91,1932-10-01,F,single,21.05,347,Vegetarian
Beth Young,6,1915-11-28,female,M,19.01,91,Non-Vegetarian
Sherri Hendrix,54,1969-01-21,male,Married,33.48,499,Vegetarian
April Horton,59,1964-07-11,male,Single,36.35,168,non-veg
Molly Kennedy,92,1931-03-08,F,Single,19.62,324,non-veg
Casey Joseph,91,1932-04-21,Male,M,30.36,135,nv
Andrea Weber,63,1960-09-07,Female,s,47.02,422,non-veg
Brenda Martinez,51,1920-09-06,Male,s,10.24,234,Vegetarian
Todd Burch,23,2000-08-14,male,married,47.16,182,v
Theresa Hinton,91,1932-02-26,female,Married,45.78,326,v
Joshua Hill,19,2004-06-14,male,M,48.24,345,nonveg
Katrina White,76,1947-02-02,Male,s,38.58,63,veg
Michael Randall,96,1927-05-27,female,Married,28.29,10,Non-Vegetarian
Wendy Fuller,97,1926-02-05,female,married,16.65,285,Non-Vegetarian
Jessica Barber,63,1960-09-03,F,married,12.81,113,non-veg
Matthew Hopkins,98,1925-11-28,m,single,29.09,258,non-veg
Jane Jackson,55,1968-11-13,female,married,42.77,388,veg
Laura Clark,113,1910-07-02,Female,married,46.15,24,nv
Stephanie Bowman,19,2004-06-13,male,Single,22.85,217,non-veg
Daniel Sanchez,22,2001-10-02,Female,single,17.78,487,nv
Hector Owen,37,1986-08-22,male,married,40.16,376,veg
Nicole Russell,35,1988-11-12,female,M,47.38,282,Non Vegetarian
Erica Gray,102,1921-04-07,F,Married,33.47,29,nonveg
Patrick Nunez,45,1986-03-12,F,Married,16.89,307,veg
Donald Mcgee,93,1930-06-30,F,s,49.93,496,Non Vegetarian
Gregory Williams,79,1944-09-21,Female,M,47.04,184,non-veg
Danielle Krueger,36,1993-02-23,m,single,14.12,347,veg
Alyssa Park,3,2020-02-06,F,Married,24.0,285,Vegetarian
Brandon Love,-8,2002-04-09,Female,married,20.55,214,non-veg
Jennifer Becker,60,1963-04-15,female,Married,32.01,57,nv
John Collins,-52,1962-04-09,Female,single,12.94,386,v
Jessica Huber,3,2020-12-01,F,s,23.18,20,veg
Julie Gutierrez,40,1983-10-30,male,Married,48.12,394,non-veg
Wesley Johnson,71,1952-10-28,F,Married,14.74,476,Vegetarian
Jerry Robertson,98,1925-12-29,male,s,18.78,431,Non Vegetarian
Brenda Owen,51,1972-04-18,F,married,17.76,181,v
Charles Anderson,82,1941-05-10,Male,married,19.84,312,non-veg
Richard Moreno,-37,2014-10-22,Male,M,19.35,38,veg
Jimmy Cuevas,17,2006-10-19,female,single,41.75,172,nonveg
Mark Owen,21,2002-11-19,Female,Single,42.02,431,veg
Derrick Terrell,1,2022-01-25,F,Single,43.79,300,nv
Isabella Henry,19,1938-08-31,F,single,12.14,129,nonveg
Angela Cooper,97,1926-08-15,female,Married,18.76,420,Non-Vegetarian
Jennifer Morgan,20,2003-12-28,Female,s,32.79,277,nv
Nichole Hamilton,76,1947-12-10,F,Married,21.13,355,veg
Wendy Cook,111,1912-02-28,female,Single,13.57,434,Vegetarian
Kimberly Oconnor,109,1914-05-26,Female,married,21.93,343,Non-Vegetarian
Rita Gonzalez,-99,1969-01-07,F,Married,42.66,431,nv
Oscar Cross,26,1997-07-20,m,married,26.94,-7,nv
Lawrence Weber,97,1926-02-13,male,married,41.1,195,non-veg
Matthew Harmon,83,1940-07-09,Female,Married,31.73,390,Non Vegetarian
Jacqueline Bailey,10,2013-10-08,F,Married,42.09,50,veg
Katelyn Cooper,71,1952-09-14,Female,Married,28.41,80,non-veg
Jeffrey Fischer,111,1912-06-14,F,Married,14.89,233,veg
Yolanda Hebert,42,1981-03-07,Female,married,46.87,70,veg
Veronica Rosales,-78,1929-11-06,F,s,31.52,172,veg
James Lopez,93,1930-05-08,m,Married,32.1,-9,Non Vegetarian
Steven Buchanan,93,1930-01-16,m,Single,29.46,322,v
Kimberly Torres,-59,2014-12-30,F,Single,16.61,460,Vegetarian
Robert Dixon,73,1950-08-30,Female,Single,38.71,459,Non-Vegetarian
Angel Moss,83,1940-05-16,female,M,33.78,44,non-veg
Charles Black,67,1991-03-29,m,Married,26.46,359,non-veg
Andrea Larson,89,1931-12-28,m,M,25.27,196,Non Vegetarian
Brian Watson,16,2007-08-11,Female,married,34.93,20,veg
Richard Baker,79,1944-05-31,F,s,46.15,359,nv
Roger Lopez,-16,1907-12-14,Female,single,45.74,285,Vegetarian
Derek Johnston,99,1924-03-31,Female,Married,32.12,180,nv
Dan Singh,98,1925-11-10,Female,M,47.34,327,nv
Joshua Walton,29,1994-03-27,F,single,32.17,480,non-veg
Sarah Kirby,2,2021-07-22,female,single,47.92,441,v
Chris Landry,100,1921-12-27,F,Married,21.4,75,v
Leslie Martinez,27,1996-10-10,male,single,15.13,270,Vegetarian
Rachel Murphy,42,1981-11-06,F,Married,42.67,133,nonveg
Nathaniel Miller,-17,2018-02-06,Male,s,44.57,-10,veg
Nathaniel Harris MD,-13,1978-07-28,F,married,29.01,103,v
Grant Moreno,84,1939-07-15,male,Single,49.43,129,non-veg
Erin Stone,51,1972-12-01,Male,Married,46.95,378,Non-Vegetarian
Jennifer Duke,-64,2019-05-05,female,single,10.64,239,nonveg
Arthur Johnson,90,1933-06-16,male,M,23.97,497,non-veg
Cynthia Woods,56,1967-02-01,Male,single,22.42,118,veg
Jill Carter,44,1979-04-28,male,married,45.68,488,Non Vegetarian
William Burgess,81,1942-04-06,Female,M,37.67,249,nonveg
Mr. Anthony Moore MD,36,1987-04-20,female,M,13.72,468,nonveg
Kathleen Kramer,104,1919-08-09,Female,Married,44.8,130,v
Kayla Bradley,10,2013-12-20,F,Married,21.61,147,Non-Vegetarian
April Butler,30,1993-07-30,Female,married,27.36,213,Non Vegetarian
Mr. Erik Conrad,10,2013-11-01,male,s,13.76,339,non-veg
Colleen Ponce,-34,1940-08-12,male,single,43.93,107,Non-Vegetarian
Danielle Garcia,4,2019-05-10,m,Single,46.78,470,veg
Samantha Sullivan,18,2005-12-22,Male,Single,26.47,18,Vegetarian
Carolyn Evans,-23,1928-03-18,male,married,46.59,28,veg
Jacqueline Smith,101,1922-04-18,male,Single,37.02,241,Non Vegetarian
Christopher Richardson,44,1979-03-19,m,single,18.98,243,non-veg
Kevin Diaz,29,1994-04-20,m,Single,44.32,267,nv
Brian Long,34,1989-04-16,male,Married,39.98,358,non-veg
Michelle Cox,43,1980-11-28,Female,Single,16.08,107,v
Dustin Hernandez,49,1974-08-06,female,M,46.58,432,v
Sandra Graham,39,1984-10-04,F,s,49.43,119,nv
Tiffany Fox,97,1926-10-31,female,s,21.78,288,Vegetarian
Laura Davis,83,1940-12-21,male,married,38.63,12,Non Vegetarian
Christian Acosta,55,1968-03-01,m,s,27.11,217,veg
Tammy Dickson,103,1920-12-26,female,s,18.92,487,nv
Tracy Morgan,29,1994-02-12,Male,M,43.75,166,nv
Morgan Cunningham,111,1912-06-08,female,s,35.79,81,nonveg
Mr. Eric Thomas,47,1976-12-28,F,Married,26.09,436,veg
Karen Williams,102,1921-12-27,male,single,20.73,214,Vegetarian
Jacqueline Rodriguez,30,1921-12-20,Male,s,42.4,87,nv
Christopher Black,-78,1933-11-11,female,Single,22.38,495,nonveg
Summer Gonzalez,51,1972-10-10,Female,single,46.31,83,nonveg
Luis Knight,-94,1996-08-25,F,s,33.34,462,Vegetarian
Jeffrey Cochran,43,1980-08-27,m,married,23.83,193,v
Drew Parker,43,1980-09-13,female,Married,15.07,53,veg
Linda Hunter,83,1940-06-08,Male,s,18.15,298,Non-Vegetarian
April Patel,22,2001-05-07,female,single,43.94,260,nonveg
Gordon Brock,73,1950-09-05,m,s,35.24,287,veg
Nicole Wells,84,1939-03-30,F,married,15.67,281,non-veg
Martin Bishop,47,1976-11-25,Male,single,38.38,179,v
Brian Young,101,1922-12-07,Female,married,33.81,151,Vegetarian
Gary Davis,41,1982-01-26,m,Single,18.11,192,v
Christina Lam,51,1972-04-26,female,s,33.31,401,v
Ruben Lamb,19,2013-06-29,male,M,39.21,76,v
Edward Martinez,73,1950-03-08,F,s,25.93,14,Vegetarian
Brittany Duncan,59,1955-12-23,male,s,11.3,392,Vegetarian
Sarah Lloyd,64,1959-12-24,m,M,36.54,483,non-veg
Rachel Burke,56,1967-01-01,Female,Married,13.35,121,Non Vegetarian
Julia Price,89,1934-05-04,Male,s,33.92,106,nv
Carrie Carrillo,67,1976-07-04,m,s,15.84,365,nv
Kathy Ewing,-100,1955-06-15,female,Single,28.64,177,veg
Kristen Walton,44,1979-04-16,Male,s,49.6,140,nonveg
Taylor Nguyen,75,1948-12-13,Male,married,45.03,408,nonveg
Mary Giles,92,1931-07-12,F,s,17.27,390,Non-Vegetarian
Christine Lewis,111,1912-06-01,F,s,42.12,310,Non Vegetarian
Melissa Baldwin,-50,1945-08-19,male,M,17.17,186,nonveg
Jeffrey Scott,27,1996-09-25,m,married,12.19,442,non-veg
Kathy Haney,49,1974-01-08,male,Single,32.05,485,v
Steven Dickerson,70,1953-02-24,m,married,13.17,402,veg
David Glenn,37,1960-03-29,female,married,49.09,409,nonveg
Anna Hensley,11,2012-01-21,Male,married,42.81,55,nv
David Keller,66,1957-03-21,Female,married,34.54,155,non-veg
Benjamin Patterson,75,1948-05-05,female,Single,14.55,275,nv
Courtney Morgan,98,1925-02-08,male,M,37.03,482,Vegetarian
Emily Jackson,10,2013-12-13,Female,Married,44.28,429,Vegetarian
Lori Montgomery,88,1935-10-17,Male,Married,37.39,27,v
Barbara Nelson,14,2009-12-28,female,M,21.22,145,nonveg
Travis Rosales,-42,1966-03-14,m,single,44.29,256,Non-Vegetarian
Melissa Sullivan,73,1950-11-30,female,s,33.69,417,v
Kenneth Mitchell,96,1927-04-08,F,single,16.61,470,Vegetarian
Michael Freeman,61,1962-07-14,F,single,27.14,222,nonveg
Brittany Jackson DDS,82,1941-01-31,male,Single,25.75,267,nv
Alexis Lucero,103,1920-06-26,Male,M,38.49,262,Non-Vegetarian
April Martin,24,1999-06-19,Female,Married,32.58,234,nonveg
Michael Gregory,100,1923-01-24,Male,Married,47.49,479,veg
Brandon Murillo,56,1967-06-03,m,Single,14.9,465,Non-Vegetarian
John Jenkins,40,1983-02-22,female,Married,30.13,361,v
Jeffrey King,90,1933-02-11,m,s,11.94,131,nv
Kimberly Fitzgerald,46,1977-08-18,F,single,16.25,415,nonveg
Brian Thomas,-28,2001-11-02,Male,Married,36.54,368,v
James Barber,115,1908-06-13,F,Married,35.35,174,nonveg
Jason White,10,2013-02-11,Female,married,46.3,204,Vegetarian
Christopher Baldwin,102,1921-05-30,F,s,26.46,181,nonveg
Jennifer Roberts,91,1932-07-16,Male,married,25.58,498,Non Vegetarian
Cheryl Sanders,48,1975-02-02,F,single,38.75,145,Vegetarian
Crystal Gonzalez,71,1952-10-06,female,M,29.03,95,Non-Vegetarian
Matthew Cannon PhD,8,2023-08-01,Male,Married,20.62,95,non-veg
Joshua Johnson,93,1930-11-25,male,married,22.07,59,Non-Vegetarian
Nicholas Jackson,20,2003-04-24,F,single,10.63,4,v
Bryan French MD,66,1957-01-16,female,Married,48.45,208,Non Vegetarian
Joshua May,44,1979-03-18,male,s,39.23,182,veg
Tracy Garza,10,2013-02-06,male,Single,30.46,27,non-veg
Mr. Nicholas Morgan DDS,5,2018-09-06,F,married,14.56,47,Non-Vegetarian
Justin Stephens,31,1992-10-11,male,Married,33.91,270,Non-Vegetarian
Martin Huang,81,1940-02-23,F,M,12.54,160,veg
Sarah Jones,72,1964-10-14,male,Married,32.06,183,Non-Vegetarian
Wesley Williamson,-32,1954-02-16,Female,single,42.01,135,non-veg
Vanessa Bailey,8,1953-08-14,m,Married,48.79,346,nonveg
Scott Smith,-25,1933-08-27,F,married,14.1,352,Vegetarian
Julia Garrett,86,1937-06-28,m,Married,21.79,40,nv
Sharon Robinson,19,2004-02-11,male,s,18.78,323,Non Vegetarian
Steven Schmidt,62,1961-07-16,F,Married,23.31,50,nv
Jose Ho,95,1928-08-10,F,married,44.68,395,Non Vegetarian
Daniel Ryan,83,1940-04-27,m,s,46.55,188,Non Vegetarian
Brian Copeland,61,1982-03-16,F,s,34.31,130,Non Vegetarian
Katelyn Johnson,43,1980-06-12,m,married,32.04,-5,Non Vegetarian
Wanda Phillips,-57,1994-06-18,m,M,11.44,182,Non-Vegetarian
Charles Wolf,-44,1953-10-31,female,Married,28.34,149,Vegetarian
Sandra Roman,72,1947-02-21,female,married,43.35,258,Non-Vegetarian
Christopher Lang,91,1932-01-17,male,s,39.02,60,veg
Tonya Smith,79,1944-06-20,female,Single,29.62,322,veg
Steven Miller,1,2022-02-01,male,M,33.25,200,veg
Michelle Zimmerman,63,1960-08-03,male,Married,22.67,257,Non Vegetarian
Yesenia Boyd,27,1922-05-18,m,married,14.32,194,v
Chad White,51,1972-07-16,m,married,28.94,135,nonveg
Mark Dominguez,-15,1927-11-08,Male,single,11.7,283,Non-Vegetarian
Cassidy Garner,100,1923-01-02,m,Married,40.45,394,veg
Gilbert Hays,35,1988-02-09,Male,Single,26.12,313,nonveg
Lisa Stevens,48,1975-01-14,female,M,14.11,426,non-veg
Sherry Bradley,-94,1909-04-09,Male,Single,10.13,9,Vegetarian
Mr. Edward Williams,23,2000-09-07,Female,M,46.24,10,veg
Adriana Padilla,-51,2000-01-08,female,married,22.41,4,Vegetarian
Christopher Garcia,68,1955-09-03,m,Single,28.73,225,Non Vegetarian
Sarah Scott,54,1969-05-08,Male,married,17.02,366,nv
Sheri Kelly,62,1961-09-15,F,married,38.17,229,Non-Vegetarian
Heather Aguilar,26,2020-04-27,male,Single,29.81,-4,nv
Tiffany Ward DDS,70,1953-12-14,m,Married,18.54,157,Non Vegetarian
